STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
DELHI UT,Central,2006,22,32,6,17,0,17,73,52,21,0,10,22,63,1036,452,584,5,37,144,4,0,156,3,21,14,75,0,14,1952,3706
DELHI UT,East,2006,39,42,8,61,0,61,118,87,31,3,28,66,168,2096,1268,828,14,39,138,4,8,200,9,86,19,205,0,8,2214,5573
DELHI UT,North East,2006,61,66,9,93,0,93,197,149,48,3,26,82,173,1246,685,561,11,34,93,5,2,286,28,92,17,176,0,180,2509,5389
DELHI UT,North,2006,28,21,5,22,0,22,41,34,7,0,12,29,78,701,269,432,4,39,124,6,3,135,8,27,5,128,0,10,1590,3016
DELHI UT,North West,2006,128,151,12,169,0,169,437,287,150,4,43,105,456,2690,1769,921,12,48,186,3,4,358,28,137,11,412,0,48,5704,11146
DELHI UT,New Delhi,2006,7,8,0,6,0,6,26,17,9,0,3,20,42,754,262,492,15,28,239,10,1,29,0,31,13,16,0,1,1039,2288
DELHI UT,South,2006,66,69,13,87,0,87,215,169,46,2,55,117,350,3820,2302,1518,12,92,379,1,5,206,19,141,34,215,0,49,4907,10854
DELHI UT,South West,2006,52,45,11,79,0,79,161,128,33,0,4,48,345,1739,915,824,9,49,199,0,7,134,24,84,25,240,0,19,3310,6584
DELHI UT,West,2006,66,63,10,88,0,88,155,128,27,2,16,39,272,2310,1386,924,5,66,173,8,2,306,17,97,5,260,0,37,3371,7368
