STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
DELHI UT,Central,2010,25,11,3,20,0,20,126,62,64,0,0,35,65,1350,791,559,5,20,352,3,1,152,2,25,3,62,0,9,559,2828
DELHI UT,East,2010,57,54,8,47,0,47,357,192,165,7,0,81,204,3443,2617,826,14,26,174,1,7,196,12,83,8,163,0,182,1599,6723
DELHI UT,North East,2010,68,27,7,51,0,51,458,252,206,5,1,57,81,2544,1821,723,6,12,90,0,5,276,24,68,5,216,0,162,899,5062
DELHI UT,North,2010,30,16,7,7,0,7,161,88,73,0,0,24,75,1166,604,562,1,25,109,1,7,142,8,23,8,63,0,19,997,2889
DELHI UT,North West,2010,60,49,4,50,0,50,260,132,128,8,5,178,225,2411,1472,939,2,20,112,0,5,177,11,62,5,163,0,24,1185,5016
DELHI UT,New Delhi,2010,6,4,2,16,0,16,29,21,8,1,0,19,33,579,194,385,3,18,97,14,1,30,0,20,10,2,0,65,503,1452
DELHI UT,South,2010,35,21,5,59,0,59,240,144,96,4,12,47,203,2454,1677,777,0,30,200,5,4,104,9,66,10,79,0,35,1686,5308
DELHI UT,South West,2010,63,20,3,54,0,54,363,203,160,1,0,30,83,1339,919,420,7,15,92,0,2,144,24,28,5,94,0,11,1125,3503
DELHI UT,West,2010,63,29,14,72,0,72,350,192,158,0,1,48,156,2588,1752,836,1,29,161,2,11,210,19,60,7,191,0,41,1422,5475
