STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Population,Density,Total_IPC_per_100k,Murder_per_100k
DELHI UT,North East,2004,54,69,3,67,0,67,157,120,37,4,20,65,153,1033,595,438,4,19,105,7,1,240,18,46,6,144,0,111,1570,3896,2241624,36155,173.8,2.41
DELHI UT,North,2004,25,23,8,23,0,23,85,55,30,5,6,30,99,1155,429,726,6,56,115,11,9,125,6,21,5,55,0,0,1550,3418,887978,14557,384.92,2.82
DELHI UT,North West,2004,129,137,19,124,0,124,285,203,82,4,22,120,443,2594,1522,1072,11,67,182,7,4,335,29,129,23,267,0,43,4866,9840,3656539,8254,269.11,3.53
DELHI UT,New Delhi,2004,6,15,5,8,0,8,20,11,9,0,4,9,79,1166,366,800,2,38,319,0,1,43,1,34,15,11,0,84,791,2651,142004,4057,1866.85,4.23
DELHI UT,South,2004,80,74,13,96,0,96,216,175,41,5,27,54,274,4000,2053,1947,10,88,417,4,2,233,21,130,40,179,0,79,3630,9672,2731929,11060,354.04,2.93
DELHI UT,South West,2004,44,49,6,79,0,79,97,68,29,3,12,51,366,1774,749,1025,13,38,227,2,5,146,11,59,13,126,0,33,2778,5932,2292958,5446,258.71,1.92
DELHI UT,West,2004,67,72,6,58,0,58,110,79,31,1,10,50,235,2512,1420,1092,5,33,156,2,5,285,24,46,9,215,0,56,3386,7343,2543243,19563,288.73,2.63
DELHI UT,Central,2005,23,28,3,20,0,20,52,32,20,1,9,20,57,1192,492,700,1,39,164,5,5,182,4,40,26,48,1,9,1600,3529,582320,27730,606.02,3.95
DELHI UT,East,2005,31,38,2,59,0,59,153,129,24,1,28,58,187,2030,1146,884,8,32,140,2,1,255,12,105,16,178,0,59,2058,5453,1709346,27132,319.01,1.81
DELHI UT,North East,2005,51,63,8,106,0,106,212,151,61,4,24,60,186,1266,718,548,6,28,124,2,4,258,29,79,23,140,0,176,2000,4849,2241624,36155,216.32,2.28
DELHI UT,North,2005,24,23,1,22,0,22,78,49,29,3,15,34,86,900,310,590,5,50,140,5,3,122,2,45,7,96,0,0,1645,3306,887978,14557,372.31,2.7
DELHI UT,North West,2005,128,121,18,190,0,190,572,349,223,9,19,124,543,2605,1546,1059,13,62,184,2,6,333,23,138,53,324,0,21,5531,11019,3656539,8254,301.35,3.5
DELHI UT,New Delhi,2005,10,11,3,6,0,6,19,15,4,0,2,13,42,803,236,567,9,32,236,8,1,40,2,26,24,9,0,91,908,2295,142004,4057,1616.15,7.04
DELHI UT,South,2005,67,63,6,87,0,87,231,169,62,4,34,93,287,4104,2274,1830,8,80,362,3,4,214,19,151,36,188,0,34,4454,10529,2731929,11060,385.41,2.45
DELHI UT,South West,2005,47,51,10,71,0,71,114,89,25,2,13,51,378,1551,737,814,9,29,177,2,11,112,12,86,20,114,0,193,2709,5762,2292958,5446,251.29,2.05
DELHI UT,West,2005,57,55,12,94,0,94,151,122,29,3,11,49,325,2370,1369,1001,1,37,179,1,10,286,10,86,19,227,0,51,3183,7217,2543243,19563,283.77,2.24
DELHI UT,Central,2006,22,32,6,17,0,17,73,52,21,0,10,22,63,1036,452,584,5,37,144,4,0,156,3,21,14,75,0,14,1952,3706,582320,27730,636.42,3.78
DELHI UT,East,2006,39,42,8,61,0,61,118,87,31,3,28,66,168,2096,1268,828,14,39,138,4,8,200,9,86,19,205,0,8,2214,5573,1709346,27132,326.03,2.28
DELHI UT,North East,2006,61,66,9,93,0,93,197,149,48,3,26,82,173,1246,685,561,11,34,93,5,2,286,28,92,17,176,0,180,2509,5389,2241624,36155,240.41,2.72
