STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
DELHI UT,Central,2012,35,25,10,31,0,31,180,95,85,2,3,47,101,1403,846,557,6,39,189,4,7,133,4,47,12,57,0,7,631,2973
DELHI UT,East,2012,48,53,9,90,0,90,503,251,252,4,0,57,172,3258,2137,1121,14,33,211,1,17,161,7,96,26,202,0,35,2426,7423
DELHI UT,North East,2012,49,65,11,78,0,78,510,263,247,4,1,58,57,2616,1944,672,5,12,136,4,2,242,25,69,9,293,0,145,1512,5903
DELHI UT,North,2012,25,17,2,14,0,14,153,84,69,0,0,45,97,1025,612,413,5,37,127,3,3,92,6,29,10,70,0,13,927,2700
DELHI UT,North West,2012,60,37,8,64,0,64,357,184,173,6,0,65,166,1901,1329,572,0,19,168,3,3,166,12,19,14,212,0,9,1253,4542
DELHI UT,New Delhi,2012,9,6,1,5,0,5,28,13,15,0,0,9,25,374,138,236,12,14,132,16,1,16,0,29,7,4,0,67,302,1057
DELHI UT,South,2012,39,19,3,70,0,70,245,134,111,2,0,52,235,2126,1354,772,3,33,256,1,4,101,17,59,36,68,0,25,1651,5045
DELHI UT,South West,2012,47,48,6,87,0,87,399,244,155,0,1,47,211,1171,800,371,6,27,189,3,6,131,18,69,21,207,0,4,1387,4085
DELHI UT,West,2012,52,37,10,79,0,79,454,256,198,2,4,52,186,2352,1733,619,5,36,202,2,18,227,18,53,6,327,0,292,1144,5558
