STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
DELHI UT,Central,2005,23,28,3,20,0,20,52,32,20,1,9,20,57,1192,492,700,1,39,164,5,5,182,4,40,26,48,1,9,1600,3529
DELHI UT,East,2005,31,38,2,59,0,59,153,129,24,1,28,58,187,2030,1146,884,8,32,140,2,1,255,12,105,16,178,0,59,2058,5453
DELHI UT,North East,2005,51,63,8,106,0,106,212,151,61,4,24,60,186,1266,718,548,6,28,124,2,4,258,29,79,23,140,0,176,2000,4849
DELHI UT,North,2005,24,23,1,22,0,22,78,49,29,3,15,34,86,900,310,590,5,50,140,5,3,122,2,45,7,96,0,0,1645,3306
DELHI UT,North West,2005,128,121,18,190,0,190,572,349,223,9,19,124,543,2605,1546,1059,13,62,184,2,6,333,23,138,53,324,0,21,5531,11019
DELHI UT,New Delhi,2005,10,11,3,6,0,6,19,15,4,0,2,13,42,803,236,567,9,32,236,8,1,40,2,26,24,9,0,91,908,2295
DELHI UT,South,2005,67,63,6,87,0,87,231,169,62,4,34,93,287,4104,2274,1830,8,80,362,3,4,214,19,151,36,188,0,34,4454,10529
DELHI UT,South West,2005,47,51,10,71,0,71,114,89,25,2,13,51,378,1551,737,814,9,29,177,2,11,112,12,86,20,114,0,193,2709,5762
DELHI UT,West,2005,57,55,12,94,0,94,151,122,29,3,11,49,325,2370,1369,1001,1,37,179,1,10,286,10,86,19,227,0,51,3183,7217
