STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
DELHI UT,CENTRAL,2001,29,42,4,28,0,28,62,42.0,20.0,3,1,42,149,1595,560,1035.0,9,57,134,3,1,113,4,30,7,2,0,13,1422,3750.0
DELHI UT,DELHI UT TOTAL,2001,547,510,63,381,0,381,1627,964.0,663.0,48,74,624,3029,19276,7894,11382.0,165,479,2183,42,50,2011,113,502,90,138,0,432,22000,54384.0
DELHI UT,EAST,2001,56,51,15,24,0,24,163,39.0,124.0,4,15,47,270,1651,835,816.0,20,41,143,6,4,257,11,56,11,27,0,23,1552,4447.0
DELHI UT,G.R.P.(RLY),2001,11,4,0,1,0,1,7,7.0,0.0,1,0,11,2,1430,13,1417.0,0,2,19,2,0,7,0,4,0,0,0,0,129,1630.0
DELHI UT,I.G.I. AIRPORT,2001,2,2,1,0,0,0,4,1.0,3.0,0,0,2,0,52,7,45.0,1,6,483,1,1,5,0,0,2,0,0,2,61,625.0
DELHI UT,NEW DELHI,2001,11,14,0,9,0,9,27,19.0,8.0,1,0,22,75,1237,341,896.0,14,36,296,12,3,35,0,20,6,2,0,109,731,2660.0
DELHI UT,NORTH,2001,28,33,5,28,0,28,99,53.0,46.0,2,5,52,177,1364,455,909.0,11,86,159,7,3,165,4,26,6,9,0,0,1729,3998.0
DELHI UT,NORTH EAST,2001,62,79,5,36,0,36,157,123.0,34.0,3,6,74,157,961,500,461.0,7,27,57,3,3,260,20,34,1,8,0,12,1477,3449.0
DELHI UT,NORTH WEST,2001,134,107,13,103,0,103,518,298.0,220.0,14,9,122,619,2850,1429,1421.0,20,55,139,3,14,429,25,102,18,22,0,22,4663,10001.0
DELHI UT,S.T.F.,2001,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
DELHI UT,SOUTH,2001,83,75,7,65,0,65,265,170.0,95.0,9,10,120,803,4220,1986,2234.0,46,100,373,1,10,307,15,96,24,22,0,103,3991,10745.0
DELHI UT,SOUTH WEST,2001,61,52,1,42,0,42,174,113.0,61.0,9,4,74,359,1816,772,1044.0,32,31,182,3,8,181,16,69,13,24,0,144,2094,5389.0
DELHI UT,WEST,2001,70,51,12,45,0,45,151,99.0,52.0,2,24,58,418,2100,996,1104.0,5,38,198,1,3,252,18,65,2,22,0,4,4151,7690.0
DELHI UT,CENTRAL,2002,23,38,7,22,0,22,71,57.0,14.0,1,1,39,143,1356,453,903.0,8,46,143,4,1,108,2,41,17,6,0,20,1481,3578.0
DELHI UT,DELHI UT TOTAL,2002,531,440,68,403,0,403,1323,893.0,430.0,47,67,502,2360,16625,7434,9191.0,139,444,2098,46,57,1851,135,446,128,135,0,416,20876,49137.0
DELHI UT,EAST,2002,50,35,9,10,0,10,141,109.0,32.0,7,13,37,210,1440,779,661.0,14,32,105,7,6,247,19,55,6,16,0,15,1407,3881.0
