STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
DELHI UT,Central,2004,16,17,6,27,0,27,57,41,16,1,11,18,84,1324,513,811,8,49,140,5,3,112,1,44,12,44,0,9,1347,3335
DELHI UT,East,2004,52,39,13,62,0,62,172,125,47,6,15,52,137,2275,1194,1081,6,42,141,3,5,246,13,82,6,212,0,17,1932,5528
DELHI UT,North East,2004,54,69,3,67,0,67,157,120,37,4,20,65,153,1033,595,438,4,19,105,7,1,240,18,46,6,144,0,111,1570,3896
DELHI UT,North,2004,25,23,8,23,0,23,85,55,30,5,6,30,99,1155,429,726,6,56,115,11,9,125,6,21,5,55,0,0,1550,3418
DELHI UT,North West,2004,129,137,19,124,0,124,285,203,82,4,22,120,443,2594,1522,1072,11,67,182,7,4,335,29,129,23,267,0,43,4866,9840
DELHI UT,New Delhi,2004,6,15,5,8,0,8,20,11,9,0,4,9,79,1166,366,800,2,38,319,0,1,43,1,34,15,11,0,84,791,2651
DELHI UT,South,2004,80,74,13,96,0,96,216,175,41,5,27,54,274,4000,2053,1947,10,88,417,4,2,233,21,130,40,179,0,79,3630,9672
DELHI UT,South West,2004,44,49,6,79,0,79,97,68,29,3,12,51,366,1774,749,1025,13,38,227,2,5,146,11,59,13,126,0,33,2778,5932
DELHI UT,West,2004,67,72,6,58,0,58,110,79,31,1,10,50,235,2512,1420,1092,5,33,156,2,5,285,24,46,9,215,0,56,3386,7343
