STATE/UT,DISTRICT,YEAR,MURDER,ATTEMPT TO MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,PREPARATION AND ASSEMBLY FOR DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,COUNTERFIETING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES
DELHI UT,Central,2002,23,38,7,22,0,22,71,57,14,1,1,39,143,1356,453,903,8,46,143,4,1,108,2,41,17,6,0,20,1481,3578
DELHI UT,East,2002,50,35,9,10,0,10,141,109,32,7,13,37,210,1440,779,661,14,32,105,7,6,247,19,55,6,16,0,15,1407,3881
DELHI UT,North East,2002,66,65,2,39,0,39,156,111,45,2,8,65,139,878,473,405,12,24,71,3,3,224,13,27,3,29,0,20,1108,2957
DELHI UT,North,2002,40,22,12,27,0,27,84,47,37,7,12,43,131,1183,412,771,14,66,136,7,8,160,5,31,23,4,0,0,1666,3681
DELHI UT,North West,2002,135,90,9,120,0,120,430,259,171,20,11,112,487,2290,1210,1080,14,75,136,3,12,360,26,101,16,20,0,50,4674,9191
DELHI UT,New Delhi,2002,6,8,1,8,0,8,20,12,8,0,2,20,54,1149,347,802,10,24,266,10,2,45,0,11,15,2,0,101,652,2406
DELHI UT,South,2002,80,60,6,65,0,65,163,124,39,4,3,74,518,3541,1897,1644,37,102,293,3,10,252,22,76,22,22,0,100,3853,9306
DELHI UT,South West,2002,52,45,5,68,0,68,126,80,46,4,4,48,364,1531,774,757,24,34,168,5,8,167,21,62,13,20,0,50,1995,4814
DELHI UT,West,2002,73,72,16,44,0,44,128,93,35,1,13,50,313,1925,1060,865,5,33,154,4,7,278,27,37,11,16,0,59,3882,7148
